車種名,モデル,グレード,支払総額,年式,走行距離,修復歴,ミッション,排気量,取得日時,ソースURL
LC,情報なし,500 Sパッケージ レクサスセーフティーセンス/スロコン,899万円,2021(R03),3.8万km,なし,フロアMTモード付10AT,5000CC,2025-06-17T12:21:07.867233,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S019&NINTEI=&CSHOSHO=
LC,情報なし,500 Sパッケージ 茶革シート　21インチAW　カーボンルーフ,899万円,2021(R03),3.2万km,なし,フロア10AT,5000CC,2025-06-17T12:21:07.868790,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S019&NINTEI=&CSHOSHO=
LC,情報なし,500 Sパッケージ 純正21インチAW　マークレビンソン,979.9万円,2021(R03),1.4万km,なし,フロアMTモード付10AT,5000CC,2025-06-17T12:21:07.870911,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S019&NINTEI=&CSHOSHO=
LC,情報なし,500h Lパッケージ 赤革　パノラマ　OP21AW　Dレコ　3眼LED,684万円,2017(H29),1.8万km,なし,フロアMTモード付CVT,3500CC,2025-06-17T12:21:07.871962,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S019&NINTEI=&CSHOSHO=
LC,情報なし,500 Sパッケージ 10.3インチメーカーナビ バッ,829.9万円,2018(H30),3万km,なし,フロアMTモード付10AT,5000CC,2025-06-17T12:21:07.874059,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S019&NINTEI=&CSHOSHO=
LC,情報なし,500 Lパッケージ OGキャリパ ガラスルーフ ブリージーブルー,698万円,2017(H29),6万km,なし,フロアMTモード付10AT,5000CC,2025-06-17T12:21:07.875129,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S019&NINTEI=&CSHOSHO=
LC,情報なし,500 Sパッケージ 寒冷地仕様/カラーHUD/純正21インチ鍛造AW,818万円,2017(H29),1.3万km,なし,フロアMTモード付10AT,5000CC,2025-06-17T12:21:07.876347,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S019&NINTEI=&CSHOSHO=
LC,情報なし,500 Sパッケージ TRDエアロ&21アルミRS-R車高調マクレビHUD,879.8万円,2018(H30),3.4万km,なし,フロアMTモード付10AT,5000CC,2025-06-17T12:21:07.877473,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S019&NINTEI=&CSHOSHO=
LC,情報なし,500 Lパッケージ KUHLコンプリート　KRUISEエアロキット,872万円,2017(H29),2.9万km,なし,フロアMTモード付10AT,5000CC,2025-06-17T12:21:07.878979,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S019&NINTEI=&CSHOSHO=
LC,情報なし,500 Sパッケージ 衝突軽減/レーダークルーズ/HUD/BSM/ETC,769.9万円,2017(H29),4.6万km,なし,フロア10AT,5000CC,2025-06-17T12:21:07.881008,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S019&NINTEI=&CSHOSHO=
