車種名,モデル,グレード,支払総額,年式,走行距離,修復歴,ミッション,排気量,取得日時,ソースURL
LS,情報なし,500 Iパッケージ 4WD アラウンドビュー  レーダークルコン,439万円,2020(R02),4.7万km,なし,フロアMTモード付10AT,3500CC,2025-06-17T12:21:23.937475,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S005&NINTEI=&CSHOSHO=
LS,情報なし,500h Fスポーツ 4WD ムーンルーフ　純正ナビ　黒本革シート,418.6万円,2017(H29),9万km,なし,フロアMTモード付CVT,3500CC,2025-06-17T12:21:23.938980,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S005&NINTEI=&CSHOSHO=
LS,情報なし,500 Iパッケージ 4WD 純正メモリーナビTV　ブルトゥース,429万円,2019(H31),4.5万km,なし,フロア10AT,3500CC,2025-06-17T12:21:23.940033,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S005&NINTEI=&CSHOSHO=
LS,情報なし,500h Fスポーツ SR 　アドバンストパーク　銀影ラスター,524.3万円,2022(R04),10.1万km,なし,フロアMTモード付CVT,3500CC,2025-06-17T12:21:23.941031,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S005&NINTEI=&CSHOSHO=
LS,情報なし,500 Iパッケージ 4WD メーカーナビ・パノラミックビューモニター,729.9万円,2023(R05),1.9万km,なし,フロアMTモード付10AT,3400CC,2025-06-17T12:21:23.942029,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S005&NINTEI=&CSHOSHO=
LS,情報なし,460 バージョンC Iパッケージ 本革エアシート レーダークルコン,267万円,2012(H24),1.7万km,なし,フロアMTモード付8AT,4600CC,2025-06-17T12:21:23.944023,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S005&NINTEI=&CSHOSHO=
LS,情報なし,500h Iパッケージ ハイブリット車　サンルーフ　20インチAW,713万円,2022(R04),3.3万km,なし,フロアMTモード付CVT,3500CC,2025-06-17T12:21:23.945021,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S005&NINTEI=&CSHOSHO=
LS,情報なし,500 Fスポーツ サンルーフ イージークローザー フルセグ,549.8万円,2020(R02),2.8万km,なし,フロアMTモード付10AT,3400CC,2025-06-17T12:21:23.946018,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S005&NINTEI=&CSHOSHO=
LS,情報なし,460 バージョンC Iパッケージ 純ナビTV　Bカメラ　ETC　Dレコ　三眼LED,262万円,2015(H27),2.9万km,なし,フロア8AT,4600CC,2025-06-17T12:21:23.947015,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S005&NINTEI=&CSHOSHO=
LS,情報なし,500 Iパッケージ 全周囲カメラ　ETC　衝突軽減ブレーキ,473.5万円,2018(H30),2万km,なし,フロア10AT,3500CC,2025-06-17T12:21:23.948521,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S005&NINTEI=&CSHOSHO=
LS,情報なし,460 バージョンC Iパッケージ 3眼LED サンルーフ パワートランク PCS BSM,304.9万円,2015(H27),1.8万km,なし,フロアMTモード付8AT,4600CC,2025-06-17T12:21:23.949627,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S005&NINTEI=&CSHOSHO=
LS,情報なし,500h Fスポーツ 後期型/サンルーフ/タッチディスプレイ/BSM,511.5万円,2021(R03),11.3万km,なし,フロアMTモード付CVT,3500CC,2025-06-17T12:21:23.950625,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S005&NINTEI=&CSHOSHO=
LS,情報なし,500h Fスポーツ 純ナビ 全方位 BSM HUD ドラレコ レーダー,549.8万円,2018(H30),2.5万km,なし,フロアCVT,3500CC,2025-06-17T12:21:23.952620,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S005&NINTEI=&CSHOSHO=
LS,情報なし,500 Fスポーツ デジタルインナーミラー 禁煙 専用黒革 BSM,514.9万円,2018(H30),2.4万km,なし,フロアMTモード付10AT,3500CC,2025-06-17T12:21:23.953618,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S005&NINTEI=&CSHOSHO=
LS,情報なし,500h Fスポーツ サンルーフ　デジタルインナーミラー,549万円,2018(H30),1.3万km,なし,フロアCVT,3500CC,2025-06-17T12:21:23.954615,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S005&NINTEI=&CSHOSHO=
LS,情報なし,500h Iパッケージ 全方位 革温冷席 HUD BSM 三眼LED ドラレコ,419.8万円,2018(H30),4.8万km,なし,フロアCVT,3500CC,2025-06-17T12:21:23.955831,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S005&NINTEI=&CSHOSHO=
LS,情報なし,500h 3眼LED 革エアシート ベージュ茶インテリア,458万円,2017(H29),3.5万km,なし,フロアMTモード付CVT,3500CC,2025-06-17T12:21:23.957837,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S005&NINTEI=&CSHOSHO=
LS,情報なし,500 Iパッケージ ムーンルーフ 三眼LED HUD ACC/LTA/BSM,950.2万円,2024(R06),0.8万km,なし,フロアMTモード付10AT,3440CC,2025-06-17T12:21:23.958835,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S005&NINTEI=&CSHOSHO=
LS,情報なし,500h Iパッケージ 3眼 SR HUD ACC BSM 全周囲  ETC2.0 温冷席,419.8万円,2017(H29),5.8万km,なし,フロアMTモード付CVT,3500CC,2025-06-17T12:21:23.960344,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S005&NINTEI=&CSHOSHO=
LS,情報なし,500h Iパッケージ 4WD 禁煙車/ワンオーナー/全周囲カメラ/BSM/HUD,363.3万円,2018(H30),9.4万km,なし,フロアMTモード付CVT,3500CC,2025-06-17T12:21:23.961346,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S005&NINTEI=&CSHOSHO=
LS,情報なし,500h Iパッケージ 4WD メモリナビ 　バックカメラ,424.8万円,2017(H29),6.4万km,なし,フロアMTモード付CVT,3500CC,2025-06-17T12:21:23.962348,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S005&NINTEI=&CSHOSHO=
LS,情報なし,500 バージョンL ナビ　ETC,494.5万円,2018(H30),3.4万km,なし,フロア10AT,3500CC,2025-06-17T12:21:23.963353,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S005&NINTEI=&CSHOSHO=
LS,情報なし,500h エグゼクティブ 4WD 寒冷地仕様/サンルーフ/オプション内装/BSM,587.8万円,2018(H30),4.7万km,なし,フロアMTモード付CVT,3500CC,2025-06-17T12:21:23.965358,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S005&NINTEI=&CSHOSHO=
LS,情報なし,500h Fスポーツ 4WD 禁煙/サンルーフ/マークレビンソン/赤本革,557.1万円,2017(H29),2.7万km,なし,フロアMTモード付CVT,3500CC,2025-06-17T12:21:23.966360,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S005&NINTEI=&CSHOSHO=
