車種名,モデル,グレード,支払総額,年式,走行距離,修復歴,ミッション,排気量,取得日時,取得日,取得時刻,ソースURL,車両URL
スープラ,情報なし,3.0 RZ VARISARTISANエアロ ADVAN19AW HKSマフラー,622.9万円,2020(R02),0.9万km,なし,フロアMTモード付8AT,3000CC,2025-06-19T23:39:31.817098,2025-06-19,23:39:31,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=TO_S086&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6221599215/index.html?TRCD=200002&RESTID=CS210610&LOAN=TSUJO
スープラ,情報なし,3.0 RZ JBLサウンド　純正19インチAW HUD 黒革,639万円,2020(R02),0.3万km,なし,フロアMTモード付8AT,3000CC,2025-06-19T23:39:31.819803,2025-06-19,23:39:31,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=TO_S086&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6371333288/index.html?TRCD=200002&RESTID=CS210610&LOAN=ZNK
スープラ,情報なし,3.0 RZ 黒革 BLITZ 車高調 禁煙車 JBLサウンド BSM,548.9万円,2020(R02),6.7万km,なし,フロアMTモード付8AT,3000CC,2025-06-19T23:39:31.822483,2025-06-19,23:39:31,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=TO_S086&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6373304137/index.html?TRCD=200002&RESTID=CS210610&LOAN=TSUJO
スープラ,情報なし,3.0 RZ GRカーボン/アルカンタラ本革シート/純正DA,604.6万円,2020(R02),0.9万km,なし,フロアMTモード付8AT,3000CC,2025-06-19T23:39:31.825157,2025-06-19,23:39:31,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=TO_S086&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6349996763/index.html?TRCD=200002&RESTID=CS210610&LOAN=TSUJO
スープラ,情報なし,3.0 RZ SARD製マフラー SARD製リアスポイラー 禁煙,647.9万円,2021(R03),0.9万km,なし,フロアMTモード付8AT,3000CC,2025-06-19T23:39:31.827854,2025-06-19,23:39:31,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=TO_S086&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6373305730/index.html?TRCD=200002&RESTID=CS210610&LOAN=TSUJO
スープラ,情報なし,2.0 SZ 1オーナー MAXORIDOエアロパーツ,414.9万円,2020(R02),6.8万km,なし,フロアMTモード付8AT,2000CC,2025-06-19T23:39:31.830535,2025-06-19,23:39:31,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=TO_S086&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6316046447/index.html?TRCD=200002&RESTID=CS210610&LOAN=TSUJO
スープラ,情報なし,2.0 SZ 純正ナビ Bカメラ クルコン LED BSM,474.8万円,2021(R03),1.2万km,なし,フロアMTモード付8AT,2000CC,2025-06-19T23:39:31.833166,2025-06-19,23:39:31,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=TO_S086&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6272453239/index.html?TRCD=200002&RESTID=CS210610
スープラ,情報なし,3.0 RZ 6MT ボルカニックアッシュグレー JBL,724.9万円,2024(R06),1.1万km,なし,フロアMTモード付6MT,3000CC,2025-06-19T23:39:31.835908,2025-06-19,23:39:31,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=TO_S086&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6361521510/index.html?TRCD=200002&RESTID=CS210610&LOAN=TSUJO
スープラ,情報なし,2.0 SZ 1オーナープリクラッシュ 純正17AW 禁煙BSM,469.9万円,2020(R02),1.8万km,なし,フロアMTモード付8AT,2000CC,2025-06-19T23:39:31.838632,2025-06-19,23:39:31,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=TO_S086&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6208219430/index.html?TRCD=200002&RESTID=CS210610&LOAN=TSUJO
スープラ,情報なし,3.0 RZ GRトランクスポイラー　プリクラッシュ,607.9万円,2020(R02),1.9万km,なし,フロアMTモード付8AT,3000CC,2025-06-19T23:39:31.841425,2025-06-19,23:39:31,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=TO_S086&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6307516956/index.html?TRCD=200002&RESTID=CS210610&LOAN=TSUJO
