車種名,モデル,グレード,支払総額,年式,走行距離,修復歴,ミッション,排気量,取得日時,取得日,取得時刻,ソースURL,車両URL
LS,情報なし,500 Iパッケージ 4WD アラウンドビュー  レーダークルコン,439万円,2020(R02),4.7万km,なし,フロアMTモード付10AT,3500CC,2025-06-18T23:30:21.928432,2025-06-18,23:30:21,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S005&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6351292031/index.html?TRCD=200002&RESTID=CS210610
LS,情報なし,500h Fスポーツ 4WD ムーンルーフ　純正ナビ　黒本革シート,418.6万円,2017(H29),9万km,なし,フロアMTモード付CVT,3500CC,2025-06-18T23:30:21.931192,2025-06-18,23:30:21,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S005&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6231456608/index.html?TRCD=200002&RESTID=CS210610&LOAN=TSUJO
LS,情報なし,500 Iパッケージ 4WD 純正メモリーナビTV　ブルトゥース,429万円,2019(H31),4.5万km,なし,フロア10AT,3500CC,2025-06-18T23:30:21.933385,2025-06-18,23:30:21,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S005&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU5871802769/index.html?TRCD=200002&RESTID=CS210610&LOAN=TSUJO
LS,情報なし,500h Fスポーツ SR 　アドバンストパーク　銀影ラスター,524.3万円,2022(R04),10.1万km,なし,フロアMTモード付CVT,3500CC,2025-06-18T23:30:21.936033,2025-06-18,23:30:21,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S005&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6273952332/index.html?TRCD=200002&RESTID=CS210610
LS,情報なし,500 Iパッケージ 4WD メーカーナビ・パノラミックビューモニター,729.9万円,2023(R05),1.9万km,なし,フロアMTモード付10AT,3400CC,2025-06-18T23:30:21.938661,2025-06-18,23:30:21,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S005&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6341591930/index.html?TRCD=200002&RESTID=CS210610
LS,情報なし,460 バージョンC Iパッケージ 本革エアシート レーダークルコン,267万円,2012(H24),1.7万km,なし,フロアMTモード付8AT,4600CC,2025-06-18T23:30:21.941388,2025-06-18,23:30:21,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S005&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6360046154/index.html?TRCD=200002&RESTID=CS210610&LOAN=TSUJO
LS,情報なし,460 バージョンC Iパッケージ 純ナビTV　Bカメラ　ETC　Dレコ　三眼LED,262万円,2015(H27),2.9万km,なし,フロア8AT,4600CC,2025-06-18T23:30:21.943491,2025-06-18,23:30:21,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S005&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6316062141/index.html?TRCD=200002&RESTID=CS210610
LS,情報なし,500h Iパッケージ ハイブリット車　サンルーフ　20インチAW,713万円,2022(R04),3.3万km,なし,フロアMTモード付CVT,3500CC,2025-06-18T23:30:21.946103,2025-06-18,23:30:21,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S005&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6360042340/index.html?TRCD=200002&RESTID=CS210610
LS,情報なし,500 Fスポーツ サンルーフ イージークローザー フルセグ,549.8万円,2020(R02),2.8万km,なし,フロアMTモード付10AT,3400CC,2025-06-18T23:30:21.948750,2025-06-18,23:30:21,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S005&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6284179473/index.html?TRCD=200002&RESTID=CS210610
LS,情報なし,500 Iパッケージ 全周囲カメラ　ETC　衝突軽減ブレーキ,473.5万円,2018(H30),2万km,なし,フロア10AT,3500CC,2025-06-18T23:30:21.951354,2025-06-18,23:30:21,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S005&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6228644766/index.html?TRCD=200002&RESTID=CS210610
